city;property_type;area_sqm;rooms;floor;floor_count;build_year;latitude;longitude;distance_to_center;poi_count;distance_to_school;distance_to_healthcare;distance_to_post_office;distance_to_kindergarten;distance_to_restaurant;distance_to_college;distance_to_pharmacy;ownership_type;building_material;condition;has_parking;has_balcony;has_elevator;has_security;has_storage;price;listing_year;listing_month;address;price_per_sqm;source_dataset;property_description;heating_type;source_url;voivodeship;offer_type;building_type;market_type;city_population;maintenance_fee;available_from;advertiser_type;additional_info;window_type;energy_certificate;furnishing;utilities;quarter;primary_price;secondary_price;inflation;housing_inflation;avg_salary;population;unemployment;interest_rate
lodz;blockOfFlats;53.29;2.0;;3.0;1955.0;51.73662;19.4504;5.0;18.0;0.105;1.562;0.28;0.137;0.332;0.307;0.353;condominium;brick;;no;no;no;no;no;289000.0;2023;8;;5423.156314505536;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;37.68;2.0;3.0;4.0;;51.7914417389862;19.3944437314115;4.29;11.0;0.283;2.536;0.681;0.354;0.178;0.239;0.29;cooperative;;;no;yes;no;no;yes;327500.0;2023;8;;8691.613588110404;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;68.07;3.0;1.0;4.0;2022.0;51.7829;19.4465;0.59;39.0;0.436;0.914;0.368;0.267;0.257;0.269;0.21;condominium;brick;;yes;yes;yes;no;yes;745000.0;2023;8;;10944.615836638755;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;99.2;3.0;2.0;4.0;1995.0;51.7593;19.4356;2.8;8.0;0.098;0.62;0.27;0.386;0.205;1.692;0.597;condominium;brick;;no;yes;no;yes;yes;730000.0;2023;8;;7358.870967741936;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;49.64;2.0;2.0;3.0;1952.0;51.7875;19.4646;0.95;18.0;0.23;0.719;0.138;0.171;0.471;0.775;0.102;condominium;brick;;yes;no;no;yes;yes;330000.0;2023;8;;6647.864625302175;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;47.22;3.0;3.0;4.0;;51.7394383884256;19.5032524995917;5.75;9.0;0.112;1.836;0.632;0.147;0.31;2.632;0.224;condominium;concreteSlab;;no;yes;no;no;yes;355000.0;2023;8;;7518.000847098687;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;56.0;2.0;2.0;2.0;1965.0;51.7857163728041;19.4392309055652;1.17;17.0;0.166;0.429;0.676;0.067;0.336;0.392;0.301;condominium;brick;premium;yes;no;no;no;yes;437000.0;2023;8;;7803.571428571428;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;66.84;3.0;2.0;10.0;2023.0;51.7976430457104;19.388603750644;4.89;13.0;0.248;3.33;0.39;0.395;0.215;1.034;0.242;condominium;brick;low;yes;yes;yes;yes;no;514700.0;2023;8;;7700.478755236385;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;36.4;2.0;4.0;4.0;;51.7324159015246;19.4713539647397;5.58;27.0;0.324;0.323;0.276;0.231;0.074;0.351;0.133;cooperative;concreteSlab;;no;yes;no;no;yes;270000.0;2023;8;;7417.582417582418;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;tenement;72.0;4.0;;3.0;1920.0;51.7617103910834;19.4589382809504;2.22;51.0;0.047;0.304;0.623;0.297;0.06;0.638;0.209;condominium;brick;low;no;no;no;yes;yes;525000.0;2023;8;;7291.666666666667;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
